EmployeeId,Department,JobRole,Gender,Age,YearsAtCompany,Salary,PerformanceScore,Satisfaction,Attrition,HireDate
E0001,Marketing,Content Specialist,Male,40,16,100950,5,9,No,2009-09-03
E0002,Marketing,Content Specialist,Female,35,3,85202,3,6,No,2022-06-07
E0003,Sales,Sales Rep,Male,48,15,113329,2,3,No,2010-01-24
E0004,Sales,Sales Rep,Male,33,4,77512,1,5,No,2021-10-20
E0005,Operations,Ops Manager,Female,41,9,112581,1,3,Yes,2016-05-01
E0006,Finance,Financial Analyst,Male,40,13,120801,1,3,Yes,2012-06-08
E0007,Finance,Accountant,Female,30,7,85538,2,6,No,2018-07-25
E0008,Finance,Financial Analyst,Male,44,13,111148,1,1,Yes,2012-09-16
E0009,HR,HR Generalist,Female,41,16,105147,4,8,No,2009-06-13
E0010,Engineering,DevOps Engineer,Male,39,11,128724,2,1,Yes,2014-05-06
E0011,Engineering,Software Engineer,Male,49,14,123822,1,4,Yes,2011-02-11
E0012,Finance,Financial Analyst,Female,36,14,102423,1,2,Yes,2011-06-30
E0013,Sales,Sales Rep,Female,29,2,71532,5,9,No,2023-12-30
E0014,Engineering,Software Engineer,Male,33,9,118065,5,6,No,2016-10-31
E0015,Marketing,Marketing Manager,Male,50,17,128742,1,5,No,2008-08-07
E0016,HR,HR Generalist,Male,43,16,110494,1,4,No,2009-04-14
E0017,Sales,Account Executive,Male,34,1,79956,5,9,No,2024-04-30
E0018,Sales,Sales Rep,Male,39,17,114030,3,1,Yes,2008-10-16
E0019,Engineering,Engineering Manager,Female,44,16,156117,2,6,Yes,2009-08-29
E0020,Sales,Account Executive,Female,40,4,79549,3,6,No,2021-11-28
E0021,Sales,Account Executive,Female,41,16,102506,3,7,No,2009-01-25
E0022,Marketing,Marketing Manager,Female,35,3,95896,5,6,No,2022-05-27
E0023,Marketing,Marketing Manager,Male,33,6,99440,3,2,Yes,2019-04-22
E0024,Engineering,DevOps Engineer,Male,41,5,118050,4,4,No,2020-08-04
E0025,Finance,Accountant,Female,39,3,81128,4,8,No,2022-05-01
E0026,Marketing,Marketing Manager,Female,42,10,112169,3,7,No,2015-11-18
E0027,HR,Recruiter,Male,38,3,75109,1,1,Yes,2022-02-21
E0028,HR,Recruiter,Male,39,4,63427,5,6,No,2021-11-25
E0029,Marketing,SEO Analyst,Male,30,6,75755,3,3,No,2019-03-28
E0030,Sales,Sales Manager,Male,44,10,122660,3,7,No,2015-09-08
E0031,Sales,Sales Rep,Male,36,13,96025,1,5,No,2012-05-24
E0032,Sales,Sales Manager,Male,39,7,107178,4,5,Yes,2018-03-30
E0033,Engineering,Engineering Manager,Male,37,7,147010,3,2,Yes,2018-08-03
E0034,HR,Recruiter,Female,35,0,70941,4,8,No,2025-11-14
E0035,Engineering,DevOps Engineer,Male,29,0,95287,2,2,No,2025-04-20
E0036,Finance,Financial Analyst,Male,33,9,98162,1,1,Yes,2016-08-30
E0037,Marketing,Marketing Manager,Female,27,5,100161,4,5,No,2020-02-17
E0038,Marketing,Marketing Manager,Female,46,15,130241,2,3,No,2010-10-25
E0039,HR,Recruiter,Female,44,13,98800,1,4,No,2012-06-18
E0040,Finance,Accountant,Male,47,16,115361,2,2,No,2009-10-13
E0041,HR,HR Generalist,Male,26,0,52220,4,8,No,2025-04-15
E0042,Engineering,DevOps Engineer,Female,51,17,137252,3,6,No,2008-08-05
E0043,Engineering,Engineering Manager,Male,41,17,155900,1,1,Yes,2008-10-02
E0044,Sales,Sales Manager,Male,43,13,137633,2,2,Yes,2012-05-27
E0045,Operations,Logistics Coordinator,Male,29,2,60065,5,7,No,2023-09-13
E0046,Operations,Logistics Coordinator,Male,34,10,94097,1,5,No,2015-10-08
E0047,Operations,Logistics Coordinator,Male,40,11,86882,1,3,Yes,2014-12-16
E0048,Engineering,Software Engineer,Female,29,1,109545,1,3,No,2024-11-15
E0049,Engineering,QA Engineer,Female,42,16,144331,2,6,No,2009-02-14
E0050,Finance,Accountant,Male,35,3,89837,3,1,No,2022-11-08
E0051,Operations,Logistics Coordinator,Female,25,0,72709,2,3,Yes,2025-09-18
E0052,Marketing,SEO Analyst,Female,35,12,97262,5,8,No,2013-04-16
E0053,Operations,Logistics Coordinator,Female,36,10,96617,4,2,Yes,2015-03-19
E0054,Marketing,Content Specialist,Male,32,7,95018,2,2,No,2018-06-28
E0055,HR,HR Generalist,Male,32,4,69308,5,8,No,2021-09-26
E0056,Finance,Financial Analyst,Male,41,16,122038,1,3,No,2009-07-21
E0057,Sales,Account Executive,Female,39,5,84081,3,7,No,2020-10-16
E0058,Sales,Sales Rep,Female,38,14,100198,2,6,Yes,2011-01-16
E0059,Finance,Financial Analyst,Female,24,1,89978,2,6,No,2024-05-31
E0060,Finance,Financial Analyst,Male,30,4,87353,4,5,No,2022-01-01
E0061,Finance,Accountant,Female,37,15,105424,3,7,No,2010-11-29
E0062,Sales,Account Executive,Male,44,13,102581,1,1,Yes,2012-01-24
E0063,Sales,Sales Rep,Male,43,15,114073,1,5,No,2010-04-17
E0064,HR,HR Generalist,Female,26,2,73266,3,1,Yes,2023-12-14
E0065,Marketing,Content Specialist,Female,29,2,74529,1,4,No,2023-01-13
E0066,Marketing,SEO Analyst,Female,42,8,82882,2,3,Yes,2017-08-04
E0067,Operations,Ops Manager,Male,31,1,90209,5,5,No,2024-01-18
E0068,Finance,Financial Analyst,Female,31,2,93436,2,4,No,2023-02-15
E0069,HR,Recruiter,Female,36,9,96892,3,7,No,2016-02-04
E0070,Sales,Account Executive,Male,34,11,111235,4,3,No,2014-01-17
E0071,Finance,Financial Analyst,Female,35,11,103325,3,1,Yes,2014-02-12
E0072,Operations,Ops Manager,Male,45,10,118439,2,6,No,2015-05-30
E0073,Finance,Financial Analyst,Male,43,12,114589,2,2,Yes,2013-06-23
E0074,Sales,Account Executive,Female,34,10,103910,1,3,Yes,2015-01-12
E0075,Marketing,SEO Analyst,Male,44,8,88726,1,1,No,2017-07-10
E0076,Finance,Financial Analyst,Female,41,17,128844,5,6,No,2008-08-18
E0077,Engineering,Software Engineer,Female,40,8,124374,4,4,No,2017-11-07
E0078,Marketing,SEO Analyst,Male,37,13,98308,5,6,No,2012-11-16
E0079,HR,Recruiter,Male,44,10,86428,4,2,Yes,2015-09-10
E0080,Operations,Ops Manager,Male,35,0,85406,2,2,No,2025-10-11
E0081,Finance,Financial Analyst,Male,46,10,96422,1,4,No,2015-03-29
E0082,Operations,Logistics Coordinator,Male,48,15,111838,3,4,No,2010-09-16
E0083,Engineering,DevOps Engineer,Male,26,1,109155,5,7,No,2024-02-17
E0084,Engineering,DevOps Engineer,Male,36,8,125995,3,1,No,2017-05-25
E0085,Sales,Account Executive,Female,39,11,104303,5,8,No,2014-12-31
E0086,Finance,Financial Analyst,Male,33,8,87056,5,6,No,2017-11-15
E0087,Marketing,SEO Analyst,Male,48,16,104163,3,3,Yes,2009-01-28
E0088,Marketing,SEO Analyst,Male,24,1,59921,3,2,No,2024-06-03
E0089,Operations,Logistics Coordinator,Female,39,15,96416,5,5,No,2010-08-08
E0090,Operations,Ops Manager,Male,33,8,113463,1,1,No,2017-11-14
E0091,Engineering,DevOps Engineer,Female,36,5,104857,5,7,No,2020-10-27
E0092,HR,HR Generalist,Male,38,14,94822,2,1,No,2011-06-30
E0093,Marketing,Content Specialist,Female,36,0,66113,5,6,No,2025-07-25
E0094,Operations,Logistics Coordinator,Female,37,9,86407,4,2,Yes,2016-02-08
E0095,Sales,Account Executive,Male,35,1,73093,1,5,No,2024-02-02
E0096,Marketing,Content Specialist,Male,38,7,74568,3,3,Yes,2018-10-02
E0097,Marketing,SEO Analyst,Male,42,16,107125,2,2,Yes,2009-04-19
E0098,Finance,Accountant,Male,39,15,111374,1,5,No,2010-05-30
E0099,Marketing,Marketing Manager,Female,39,16,140521,3,7,No,2009-07-29
E0100,Operations,Logistics Coordinator,Male,45,16,114243,2,1,No,2009-08-04
E0101,Engineering,DevOps Engineer,Male,35,10,114283,2,4,No,2015-08-27
E0102,Finance,Financial Analyst,Female,48,13,108553,2,6,No,2012-07-08
